Report_Name	Dataset Master Report
Report_ID	DSR
Release	RD1
Exceptions	3040: Partial Data Returned
Reporting_Period	2018-03-01 to 2018-03-31
Created	2018-03-12
Created_By	Dash

Dataset_Title	Publisher	Publisher_ID	Platform	Creators	Publication_Date	Dataset_Version	DOI	Other_ID	URI	YOP	Access_Method	Metric_Type	Country	Reporting_Period_Total	Reporting_Period_Volume
#AmplifyWomen	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-10-14		10.6086/D1Q66X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1Q66X	2017	Regular	Unique_Dataset_Requests		1	206986
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Regular	Total_Dataset_Investigations	US	3	
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Regular	Unique_Dataset_Investigations	US	3	
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Machine	Total_Dataset_Investigations	FR	1	
DocNow Digital Blackness 	UC Riverside	grid.266097.c	Dash	Bergis Jules	2017-12-14		10.6086/D1808K		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1808K	2017	Machine	Unique_Dataset_Investigations	FR	1	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Total_Dataset_Investigations	US	6	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Unique_Dataset_Investigations	US	6	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Total_Dataset_Requests	US	1	7600
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Unique_Dataset_Requests	US	1	7600
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Total_Dataset_Investigations		1	
#BLKTwitterstorians January 2018 Chat	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-01-06		10.6086/D1P07X		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1P07X	2018	Regular	Unique_Dataset_Investigations		1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	US	26	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	US	25	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	IE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	IE	1	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	CA	7	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	CA	7	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Total_Dataset_Investigations	DE	3	
#twitterandnews	UC Riverside	grid.266097.c	Dash	Bergis Jules	2018-03-09		10.6086/D1337P		https://dash.ucr.edu/stash/dataset/doi:10.6086/D1337P	2018	Regular	Unique_Dataset_Investigations	DE	3	
